sid,pre accu,post accu
S100,,[0.89583333 0.85416667 0.85416667 0.91666667]
S91,,[0.83333333 0.875      0.79166667 0.83333333]
S92,,[0.8125     0.83333333 1.         1.        ]
S93,,[0.875      0.875      0.89583333 0.875     ]
S94,,[0.95833333 0.97916667 0.89583333 0.875     ]
S95,,[0.95833333 0.97916667 0.9375     0.9375    ]
S96,,[0.95833333 0.95833333 1.         1.        ]
S97,,[0.875      0.875      0.91666667 0.91666667]
S98,,[0.95833333 0.97916667 0.9375     0.9375    ]
S99,,[0.91666667 0.875      0.875      0.89583333]
